"","ID","Gene.symbol"
"8133874",8133874,""
"7995030",7995030,""
"7967067",7967067,""
"7916775",7916775,""
"8024238",8024238,"CIRBP"
"8093993",8093993,"TADA2B"
"8062623",8062623,"PLCG1"
"8113120",8113120,""
"8165707",8165707,""
"8025278",8025278,"RETN"
"8074958",8074958,""
"8109194",8109194,"SLC26A2"
"8009164",8009164,"DCAF7"
"7898278",7898278,"SPEN"
"8040712",8040712,"SLC35F6///CENPA"
"8002446",8002446,"HYDIN"
"8059279",8059279,"EPHA4"
"7962869",7962869,"DDX23"
"8057732",8057732,"NEMP2"
"8010696",8010696,"NPB"
"8019693",8019693,"NPB"
"8034843",8034843,"NDUFB7"
"7943347",7943347,"ARHGAP42"
"7899151",7899151,""
"7994928",7994928,"PHKG2"
"8103242",8103242,""
"7971922",7971922,"PCDH9"
"7921806",7921806,"B4GALT3"
"8077082",8077082,"LMF2"
"8151234",8151234,""
"8129985",8129985,"PLAGL1"
"7993112",7993112,""
"8137044",8137044,""
"8024056",8024056,"ELANE"
"8150590",8150590,""
"7960594",7960594,"CHD4"
"7923753",7923753,"NUAK2"
"7905754",7905754,"ATP8B2"
"7942717",7942717,"MYO7A"
"8110872",8110872,"IRX2"
"8055060",8055060,"WDR33"
"7905365",7905365,"PIP5K1A"
"7991661",7991661,""
"8098712",8098712,""
"7979583",7979583,"ESR2"
"8083301",8083301,"TM4SF4"
"8031867",8031867,""
"7995866",7995866,"MIR138-2"
"8141361",8141361,"OR2AE1"
"8084889",8084889,""
"8007607",8007607,"RUNDC3A"
"7991451",7991451,""
"7906703",7906703,"NDUFS2"
"8052018",8052018,"KCNK12"
"7954492",7954492,"FGFR1OP2"
"8166493",8166493,"EIF2S3"
"8049199",8049199,"GIGYF2"
"8002533",8002533,"ZNF23"
"8068543",8068543,"DSCR9"
"8067798",8067798,"SOX18"
"8138466",8138466,"MACC1"
"7940737",7940737,"SLC22A10"
